Season,Club (grouped),Club,First Name,Last Name,Position,Total Compensation,Base Salary
2018,TFC,TOR,Sebastian,Giovinco,F,"$7,115,556 ","$5,600,000 "
2018,TFC,TOR,Michael,Bradley,M,"$6,500,000 ","$6,000,000 "
2018,LAFC,LAFC,Carlos,Vela,F,"$6,292,500 ","$4,500,000 "
2018,CHI,CHI,Bastian,Schweinsteiger,M,"$6,100,000 ","$6,100,000 "
2018,LAG,LA,Giovani,dos Santos,F,"$6,000,000 ","$4,250,000 "
2018,NYC,NYCFC,David,Villa,F,"$5,610,000 ","$5,610,000 "
2018,TFC,TOR,Jozy,Altidore,F,"$5,000,000 ","$5,000,000 "
2018,MTL,MTL,Ignacio,Piatti,M,"$4,713,333 ","$500,000 "
2018,COL,COL,Tim,Howard,GK,"$2,475,000 ","$2,000,000 "
2018,POR,POR,Diego,Valeri,M,"$2,380,000 ","$2,320,000 "
2018,SEA,SEA,Nicolas,Lodeiro,M,"$2,302,500 ","$1,800,000 "
2018,ATL,ATL,Miguel,Almiron,M,"$2,297,000 ","$1,912,500 "
2018,MLS,MLS,Yura,Movsisyan,F,"$2,073,750 ","$1,850,000 "
2018,NYC,NYCFC,Maxi,Moralez,M,"$2,000,000 ","$2,000,000 "
2018,LAG,LA,Jonathan,dos Santos,M,"$2,000,000 ","$2,000,000 "
2018,POR,POR,Fanendo,Adi,F,"$1,933,333 ","$1,275,000 "
2018,CHI,CHI,Nemanja,Nikolic,F,"$1,906,333 ","$1,700,000 "
2018,LAG,LA,Romain,Alessandrini,M,"$1,869,996 ","$1,539,996 "
2018,PHI,PHI,Borek,Dockal,M,"$1,714,286 ","$1,714,286 "
2018,COL,COL,Shkelzen,Gashi,F,"$1,668,750 ","$1,575,000 "
2018,MNU,MNUFC,Darwin,Quintero,F,"$1,650,000 ","$1,650,000 "
2018,KC,KC,Felipe,Gutierrez,M,"$1,650,000 ","$1,600,000 "
2018,SEA,SEA,Clint,Dempsey,F,"$1,650,000 ","$1,100,000 "
2018,RBNY,NYRB,Bradley,Wright-Phillips,F,"$1,635,000 ","$1,500,000 "
2018,TFC,TOR,Victor,Vazquez,M,"$1,500,000 ","$1,365,000 "
2018,LAG,LA,Zlatan,Ibrahimovic,F,"$1,500,000 ","$1,500,000 "
2018,SJ,SJ,"Valeri ""Vako""",Qazaishvili,M,"$1,454,042 ","$1,325,004 "
2018,ATL,ATL,Ezequiel,Barco,M,"$1,425,000 ","$1,425,000 "
2018,ATL,ATL,Josef,Martinez,F,"$1,387,318 ","$1,270,008 "
2018,ORL,ORL,Dom,Dwyer,F,"$1,383,333 ","$1,200,000 "
2018,POR,POR,Sebastian,Blanco,M,"$1,375,008 ","$1,300,008 "
2018,TFC,TOR,Ager,Aketxe Barrutia,M,"$1,295,000 ","$1,190,000 "
2018,CHI,CHI,Aleksandar,Katai,M,"$1,276,333 ","$1,140,000 "
2018,PHI,PHI,Alejandro,Bedoya,M,"$1,266,250 ","$1,200,000 "
2018,PHI,PHI,David,Accam,F-M,"$1,250,000 ","$1,250,000 "
2018,RSL,RSL,Alfredo,Ortuno,F,"$1,162,500 ","$990,000 "
2018,SEA,SEA,Osvaldo,Alonso,M,"$1,141,667 ","$1,100,000 "
2018,ORL,ORL,Sacha,Kljestan,M,"$1,100,000 ","$1,025,000 "
2018,CLB,CLB,Federico,Higuain,M,"$1,100,000 ","$1,100,000 "
2018,SEA,SEA,Victor,Rodriguez,M,"$1,087,500 ","$1,000,000 "
2018,LAFC,LAFC,Diego,Rossi,F,"$1,052,000 ","$1,000,000 "
2018,POR,POR,Lucas,Melano,F,"$1,050,000 ","$830,000 "
2018,RSL,RSL,Damir,Kreilach,M,"$1,013,333 ","$900,000 "
2018,NE,NE,Krisztian,Nemeth,F,"$1,007,667 ","$900,000 "
